Reference,Qty,Value,MPN,Manufacturer,Package,DNP,Qty1_USD,Qty100_USD,Ext1_USD,Ext100_USD,Buy,Datasheet,Notes
U1,1,NT3H2211W0FTTJ,NT3H2211W0FTTJ,NXP,TSSOP-8,no,1.18,0.76,1.18,0.76,https://www.digikey.com/en/products/result?keywords=NT3H2211W0FTTJ,https://www.nxp.com/docs/en/data-sheet/NT3H2111_2211.pdf,ISO 14443-A NTAG I2C plus 2K. Qty100 from Findchips/Arrow 2026-09-04.
U2,1,TPS61023DRLR,TPS61023DRLR,Texas Instruments,SOT-563,no,1.31,0.64,1.31,0.64,https://www.digikey.com/en/products/result?keywords=TPS61023DRLT,https://www.ti.com/lit/ds/symlink/tps61023.pdf,DigiKey 100. Cut-tape DRLT is easier in qty 1.
U3,1,TPS22917DBVR,TPS22917DBVR,Texas Instruments,SOT-23-6,no,0.55,0.33,0.55,0.33,https://www.digikey.com/en/products/result?keywords=TPS22917DBVR,https://www.ti.com/lit/ds/symlink/tps22917.pdf,EPD load switch. Qty100 typical TI catalog break.
U4,1,TCM809SENB713,TCM809SENB713,Microchip,SOT-23,no,0.48,0.28,0.48,0.28,https://www.digikey.com/en/products/result?keywords=TCM809SENB713,https://www.microchip.com/en-us/product/tcm809,S suffix is 2.93 V. Do not buy the J suffix (4.00 V).
U5,1,STM32G071CBT6,STM32G071CBT6,STMicroelectronics,LQFP-48 7x7,no,2.79,2.23,2.79,2.23,https://www.digikey.com/en/products/result?keywords=STM32G071CBT6,https://www.st.com/resource/en/datasheet/stm32g071cb.pdf,ST store 100-249 is $2.23. Disty can be lower.
Q1,1,2N7002,2N7002,onsemi,SOT-23,no,0.12,0.04,0.12,0.04,https://www.digikey.com/en/products/result?keywords=2N7002,https://www.onsemi.com/pdf/datasheet/2n7002-d.pdf,SSD1683 VGL-pump FET.
D1,1,PMEG2010AEB,PMEG2010AEB115,Nexperia,SOD-523,no,0.28,0.11,0.28,0.11,https://www.digikey.com/en/products/result?keywords=PMEG2010AEB,https://www.nexperia.com/products/diodes/schottky-rectifiers-and-schottky-diodes/PMEG2010AEB.html,20 V 1 A Schottky
L1,1,1uH 3A,XEL4030-102MEB,Coilcraft,4x4 mm,no,1.15,0.88,1.15,0.88,https://www.digikey.com/en/products/result?keywords=XEL4030-102ME,https://www.coilcraft.com/en-us/products/power/shielded-inductors/molded-smd/xel/xel4030/,TPS61023 1 MHz inductor
J1,1,FH12-24S-0.5SH,FH12-24S-0.5SH(55),Hirose,24p 0.5 mm FPC,no,1.85,1.25,1.85,1.25,https://www.digikey.com/en/products/result?keywords=FH12-24S-0.5SH,https://www.hirose.com/product/p/CL0586-0757-0-55,GDEY042T81 FPC
J2,1,SWD 1.27mm,N/A,generic,1x05 P1.27,no,0.35,0.12,0.35,0.12,https://www.digikey.com/en/products/result?keywords=pin+header+1.27mm+1x5,,3V3 SWDIO SWCLK NRST GND
J3,1,UART 2.54mm,N/A,generic,1x03 P2.54,no,0.15,0.08,0.15,0.08,https://www.digikey.com/en/products/result?keywords=pin+header+2.54mm+1x3,,GND TX RX
JP1,1,DEBUG_3V3,N/A,generic,1x02 P2.54,no,0.10,0.05,0.10,0.05,https://www.digikey.com/en/products/result?keywords=pin+header+2.54mm+1x2,,Leave open for NFC power
DISP1,1,GDEY042T81,GDEY042T81,Good Display,4.2 in 400x300,no,18.50,11.00,18.50,11.00,https://www.good-display.com/product/386.html,https://www.good-display.com/product/386.html,Qty100 is a factory quote band ($9-$13). LaskaKit/Waveshare stay near retail.
C1,1,220nF X7R 16V,GRM155R71C224KA55D,Murata,0402,no,0.10,0.04,0.10,0.04,https://www.digikey.com/en/products/result?keywords=GRM155R71C224KA55D,,NTAG VOUT. Do not exceed 220 nF.
C2,1,470uF 6.3V OS-CON,6SEPC470M,Panasonic,radial 8 mm,no,1.40,0.92,1.40,0.92,https://www.digikey.com/en/products/result?keywords=6SEPC470M,,Harvest tank
C3,1,22mF 5.5V supercap,KR-5R5V223-R,Eaton,radial coin,yes,2.80,1.60,0.00,0.00,https://www.digikey.com/en/products/result?keywords=KR-5R5V223-R,,DNP. Optional hold-up.
C4,1,10uF 6.3V,GRM188R60J106ME47D,Murata,0603,no,0.12,0.05,0.12,0.05,https://www.digikey.com/en/products/result?keywords=GRM188R60J106ME47D,,Boost VIN
C5,1,22uF 6.3V,GRM21BR60J226ME39L,Murata,0805,no,0.22,0.08,0.22,0.08,https://www.digikey.com/en/products/result?keywords=GRM21BR60J226ME39L,,Boost VOUT
C6,1,22uF 6.3V,GRM21BR60J226ME39L,Murata,0805,no,0.22,0.08,0.22,0.08,https://www.digikey.com/en/products/result?keywords=GRM21BR60J226ME39L,,Boost VOUT
C7,1,1nF 50V,GRM155R71H102KA01D,Murata,0402,no,0.05,0.02,0.05,0.02,https://www.digikey.com/en/products/result?keywords=GRM155R71H102KA01D,,TPS22917 CT
C8,1,100nF 50V,GRM155R71H104KE14D,Murata,0402,no,0.04,0.02,0.04,0.02,https://www.digikey.com/en/products/result?keywords=GRM155R71H104KE14D,,NRST
